lead_id,first_name,last_name,email,title,created_date,lead_age_days,company_name,industry,employee_count,employee_count_bucket,annual_revenue,annual_revenue_bucket,tech_stack,hq_location,total_engagements,unique_engagement_types,last_engagement_date,target,score
78,Robert,Maxwell,erinkeller@pierce.com,Mental health nurse,2025-04-10,67,Brown-Bryant,Healthcare,3265,Large,16.83,Low,Marketo,East Daniel,3,3,2025-05-28 23:20:11.000,0,0.02
112,Amy,Ramirez,janetross@yahoo.com,Oncologist,2025-02-04,132,Walters Group,Healthcare,1923,Large,65.61,Low,Marketo,South Jackview,1,1,2025-04-15 12:02:46.000,0,0.0
259,Vanessa,Garner,erica64@hotmail.com,Industrial/product designer,2025-05-24,23,"Sosa, Smith and Alvarez",Technology,4167,Large,97.32,Low,HubSpot,Lake Pamela,1,1,2025-01-11 06:18:33.000,0,0.06
275,Henry,Jackson,bakerkathleen@chapman.com,Sub,2025-06-04,12,"Stewart, Martin and Arroyo",Manufacturing,4611,Large,40.03,Low,Oracle,Williamsside,2,2,2025-04-06 13:19:21.000,0,0.03
298,Zachary,Adams,kayla30@taylor-hoffman.org,Copy,2025-02-17,119,Rivers Inc,Technology,686,Large,53.66,Low,Salesforce,Rogersshire,2,2,2025-02-04 18:18:16.000,0,0.01
406,Jesse,Thompson,petersonjulie@grant-martin.info,Marine scientist,2025-04-04,73,"Brown, Townsend and Chase",Retail,1060,Large,79.77,Low,Marketo,South Coreychester,2,2,2025-04-03 03:19:09.000,0,0.01
507,Michael,Sparks,alison23@hayes-roberts.com,Trade union research officer,2025-01-15,152,Orr-Lopez,Healthcare,71,Medium,23.98,Low,Oracle,New Davidside,2,2,2025-04-28 01:48:28.000,0,0.0
414,Lisa,Wong,rtaylor@hotmail.com,"Editor, film/video",2025-01-11,156,"Ramos, Jackson and Evans",Manufacturing,177,Medium,47.55,Low,Oracle,Jasminefort,2,2,2025-02-19 12:31:35.000,0,0.0
564,Heather,Harper,kdavis@yahoo.com,"Engineer, aeronautical",2025-04-07,70,"Jones, Peters and Kelley",Manufacturing,3413,Large,37.03,Low,Marketo,East Jack,3,2,2025-04-08 21:04:14.000,0,0.0
827,Jacob,Richmond,lambrichard@patton-obrien.biz,"Designer, fashion/clothing",2025-03-19,89,"Briggs, Patrick and Knapp",Retail,1484,Large,35.86,Low,Salesforce,Port Dawn,3,2,2025-05-09 04:34:13.000,0,0.02
896,Michele,Payne,jonescrystal@yahoo.com,Mudlogger,2025-04-08,69,Brown-Bryant,Healthcare,3265,Large,16.83,Low,Marketo,East Daniel,5,4,2025-04-23 10:18:59.000,1,0.98
290,Samantha,Flores,claudia80@donovan-orr.net,Hydrogeologist,2025-06-04,12,"Anderson, Chan and Gonzales",Healthcare,2495,Large,3.09,Low,HubSpot,North Mirandaside,2,2,2025-03-23 14:13:12.000,0,0.07
605,Jeffrey,Avila,littlemichael@hotmail.com,Nutritional therapist,2025-02-20,116,"Ramsey, Lopez and Richardson",Finance,3519,Large,28.73,Low,SAP,Pricemouth,2,2,2025-03-27 07:04:01.000,0,0.03
626,Courtney,Bird,xharris@lucas.net,"Scientist, research (maths)",2025-01-19,148,Reilly-Adams,Manufacturing,2163,Large,11.16,Low,Oracle,Salazarhaven,1,1,2025-05-31 05:09:35.000,0,0.03
628,Ryan,Rowland,russellblevins@munoz-wu.biz,"Conservator, furniture",2025-04-02,75,Nicholson LLC,Retail,3590,Large,59.94,Low,Oracle,Anthonyfurt,1,1,2025-03-17 06:26:08.000,0,0.02
678,Derrick,Santos,lynchmichael@davis.biz,Learning disability nurse,2025-01-26,141,Rivers Inc,Technology,686,Large,53.66,Low,Salesforce,Rogersshire,3,2,2025-04-04 17:53:32.000,0,0.02
699,Shaun,Gonzalez,bakercynthia@cervantes.com,Haematologist,2025-02-22,114,Lynch Inc,Retail,2086,Large,65.38,Low,SAP,West Matthewstad,2,2,2025-04-12 15:21:45.000,0,0.02
736,Kyle,Mann,chad01@gmail.com,"Journalist, magazine",2025-05-01,46,"Pineda, Kim and Smith",Healthcare,66,Medium,22.59,Low,Marketo,Nancyberg,1,1,2025-03-22 20:48:42.000,0,0.01
739,Javier,Bauer,wgray@wall-mcdonald.com,"Programmer, multimedia",2025-02-08,128,Mills LLC,Manufacturing,3956,Large,61.48,Low,Salesforce,Port Maryport,1,1,2025-05-30 07:31:22.000,0,0.01
